dataset,replicate,runtime,fdr,tpr,fpr,shd,nnz
data_p10_e30_n10000_scaling_nodes_p10,1,7.3027,0.5000,0.2581,0.5714,27,16
data_p10_e30_n10000_scaling_nodes_p10,2,5.3196,0.3158,0.5000,0.3158,16,19
data_p10_e30_n10000_scaling_nodes_p10,3,4.2259,0.2778,0.4194,0.3571,23,18
data_p10_e30_n10000_scaling_nodes_p10,4,3.7112,0.2500,0.5294,0.5455,20,24
data_p10_e30_n10000_scaling_nodes_p10,5,4.8728,0.3600,0.4848,0.7500,24,25
data_p20_e60_n10000_scaling_nodes_p20,1,35.1022,0.3913,0.2456,0.0677,48,23
data_p20_e60_n10000_scaling_nodes_p20,2,28.3135,0.4848,0.3148,0.1176,47,33
data_p20_e60_n10000_scaling_nodes_p20,3,66.1916,0.1250,0.5000,0.0203,24,24
data_p20_e60_n10000_scaling_nodes_p20,4,58.4037,0.4848,0.2833,0.1231,53,33
data_p20_e60_n10000_scaling_nodes_p20,5,29.1960,0.3333,0.3750,0.0634,36,27
data_p30_e90_n10000_scaling_nodes_p30,1,109.9313,0.4571,0.1792,0.0486,95,35
data_p30_e90_n10000_scaling_nodes_p30,2,75.5490,0.3962,0.3441,0.0614,80,53
data_p30_e90_n10000_scaling_nodes_p30,3,215.3604,0.4130,0.2700,0.0567,85,46
data_p30_e90_n10000_scaling_nodes_p30,4,121.4695,0.3654,0.3667,0.0551,72,52
data_p30_e90_n10000_scaling_nodes_p30,5,359.3371,0.3125,0.4231,0.0420,54,48
data_p40_e120_n10000_scaling_nodes_p40,1,401.5936,0.1818,0.4355,0.0183,80,66
data_p40_e120_n10000_scaling_nodes_p40,2,305.7478,0.2394,0.4426,0.0258,81,71
data_p40_e120_n10000_scaling_nodes_p40,3,313.2203,0.2727,0.4211,0.0270,80,66
data_p40_e120_n10000_scaling_nodes_p40,4,314.5809,0.4118,0.3226,0.0427,106,68
